Time,IRP Operation,FSF Operation,FIO Operation,IRP Flags,IRP Major Opn,IRP Minor Opn,IRP Status,File Object,File Accesed,Buffer Length,Entropy,label
285,16956.0,1057.0,1068.0,0.0,4535.0,0.0,0.7432177400330267,1782.0,1782.0,0.0,0.0,0
290,10724.0,35.0,53.0,0.0,3890.0,0.0,0.6850988437150317,490.0,490.0,0.0,0.0,0
295,8191.0,131.0,154.0,0.0,2176.0,0.0,0.7568062507630327,1005.0,1005.0,0.0,0.0,0
300,4803.0,55.0,27.0,0.0,1179.0,0.0,0.7318342702477618,474.0,474.0,0.0,0.0,0
305,5219.0,28.0,9.0,0.0,1319.0,0.0,0.7696876796321135,445.0,445.0,0.0,0.0,0
310,3868.0,63.0,31.0,0.0,875.0,0.0,0.7587900723888314,294.0,294.0,0.0,0.0,0
315,4549.0,11.0,27.0,0.0,1094.0,0.0,0.7194987909430645,427.0,427.0,0.0,0.0,0
320,4149.0,20.0,41.0,0.0,1034.0,0.0,0.7423475536273801,260.0,260.0,0.0,0.0,0
325,26964.0,63.0,15.0,0.0,5816.0,0.0,0.736648865153538,4762.0,4762.0,0.0,0.0,0
330,9484.0,126.0,173.0,0.0,2934.0,0.0,0.7139392661324335,871.0,871.0,0.0,0.0,0
335,13074.0,29.0,6.0,0.0,3127.0,0.0,0.7296925195043598,3349.0,3349.0,0.0,0.0,0
340,3602.0,15.0,12.0,0.0,833.0,0.0,0.7434758467518046,207.0,207.0,0.0,0.0,0
345,12329.0,67.0,0.0,0.0,3714.0,0.0,0.7474247708654392,677.0,677.0,0.0,0.0,0
350,99161.0,1657.0,597.0,0.0,31132.0,0.0,0.7493167676808423,10313.0,10313.0,0.0,0.0,0
355,9250.0,70.0,536.0,0.0,2227.0,0.0,0.7615135135135135,538.0,538.0,0.0,0.0,0
360,160460.0,5162.0,1663.0,0.0,45771.0,0.0,0.7384831110557148,15942.0,15942.0,0.0,0.0,0
365,106226.0,2383.0,1388.0,0.0,31120.0,0.0,0.737135917760247,14718.0,14718.0,0.0,0.0,0
370,83831.0,2046.0,1014.0,0.0,23580.0,0.0,0.7295869069914471,9141.0,9141.0,0.0,0.0,0
375,53827.0,697.0,852.0,0.0,14895.0,0.0,0.6817024913147677,3057.0,3057.0,0.0,0.0,0
380,83259.0,1504.0,1012.0,0.0,25242.0,0.0,0.7415894978320662,9687.0,9687.0,0.0,0.0,0
385,5367.0,73.0,51.0,0.0,1301.0,0.0,0.7510713620272033,363.0,363.0,0.0,0.0,0
390,5318.0,19.0,258.0,0.0,1131.0,0.0,0.7735990974050395,244.0,244.0,0.0,0.0,0
395,14783.0,109.0,62.0,0.0,4190.0,0.0,0.7238043698843266,1203.0,1203.0,0.0,0.0,0
400,7671.0,34.0,129.0,0.0,2075.0,0.0,0.7284578281840699,1096.0,1096.0,0.0,0.0,0
405,7206.0,9.0,38.0,0.0,2463.0,0.0,0.655842353594227,230.0,230.0,0.0,0.0,0
410,9909.0,65.0,8.0,0.0,3583.0,0.0,0.6342718740538904,711.0,711.0,0.0,0.0,0
415,16654.0,249.0,4.0,0.0,5220.0,0.0,0.7520715743965414,2140.0,2140.0,0.0,0.0,0
420,12434.0,169.0,16.0,0.0,3965.0,0.0,0.7684574553643236,1506.0,1506.0,0.0,0.0,0
425,30600.0,83.0,16.0,0.0,6825.0,0.0,0.7306535947712418,6144.0,6144.0,0.0,0.0,0
430,23208.0,427.0,72.0,0.0,6774.0,0.0,0.6926921751120303,3063.0,3063.0,0.0,0.0,0
